,Booth,x,y
Finch's Beer Co.,131,400.81366,482.37902
Atwater Brewery,132,400.81366,555.24244
Foundation Brewing Co.,133,399.6571,576.06057
Gneiss Brewing Co.,134,399.6571,598.03525
Gritty McDuff's Brewing Co.,135,400.81366,618.85337
Troegs Brewing Co.,136,399.6571,640.82806
Victory Brewing Co.,137,403.12679,662.80274
Cape Ann Brewing Co.,138,399.6571,683.62086
Brooklyn Brewery,139,400.81366,705.59555
Lawson's Finest Liquids,140,399.6571,726.41367
